nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE
1.0,0.0,False,0,0,0.0,15.0,0,20.0,0,274.0,0,30.0,303.0,0,0,0,0,6917.0,303.0,0,274.0,65.0,6275.0,3.034,3.6408
1.0,0.0,False,0,0,245.0,15.0,0,20.0,0,16.0,0,30.0,79.0,0,0,0,0,7154.0,79.0,0,16.0,65.0,6994.0,0.79,0.9480000000000001
0.0,0.0,False,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,7559.0,0.0,0,0.0,0.0,7559.0,0.0,0.0
0.0,0.0,False,0,0,170.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,7389.0,0.0,0,0.0,0.0,7389.0,0.0,0.0
2.0,0.0,False,0,0,176.0,9.0,0,26.0,0,354.0,0,60.0,231.0,0,0,0,0,6703.0,231.0,0,354.0,95.0,6023.0,3.857,2.4983999999999997
0.0,0.0,False,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,7559.0,0.0,0,0.0,0.0,7559.0,0.0,0.0
2.0,0.0,False,0,0,103.0,15.0,0,45.0,0,126.0,0,60.0,245.0,0,0,0,0,6965.0,245.0,0,126.0,120.0,6474.0,4.261,3.5792399999999995
2.0,0.0,False,0,0,126.0,15.0,0,153.0,0,187.0,0,60.0,385.0,0,0,0,0,6633.0,385.0,0,187.0,228.0,5833.0,7.741,4.2132000000000005
0.0,0.0,False,0,0,259.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,7300.0,0.0,0,0.0,0.0,7300.0,0.0,0.0
2.0,0.0,False,0,0,104.0,15.0,0,75.0,0,249.0,0,60.0,154.0,0,0,0,0,6902.0,154.0,0,249.0,150.0,6349.0,3.391,1.4784
